candidate_id,rank,score,reasoning
CAND_0002025,1,0.8677,Senior AI Engineer with 5.9 yrs; 6 AI core skills; response rate 0.80.
CAND_0018499,2,0.8357,Senior Machine Learning Engineer with 7.2 yrs; 5 AI core skills; response rate 0.61.
CAND_0016163,3,0.801,Applied ML Engineer with 6.7 yrs; 5 AI core skills; response rate 0.72.
CAND_0074735,4,0.8008,Applied ML Engineer with 5.5 yrs; 5 AI core skills; response rate 0.77.
CAND_0028793,5,0.7937,Search Engineer with 7.2 yrs; 4 AI core skills; response rate 0.57.
CAND_0036121,6,0.7808,ML Engineer with 5.2 yrs; 5 AI core skills; response rate 0.49.
CAND_0093912,7,0.7742,Senior Data Scientist with 5.3 yrs; 3 AI core skills; response rate 0.66.
CAND_0086022,8,0.7701,Senior Applied Scientist with 5.3 yrs; 8 AI core skills; response rate 0.55.
CAND_0010603,9,0.7661,ML Engineer with 5.3 yrs; 5 AI core skills; response rate 0.94.
CAND_0094165,10,0.762,AI Research Engineer with 5.8 yrs; 2 AI core skills; response rate 0.78.
CAND_0039383,11,0.7567,Applied ML Engineer with 7.1 yrs; 5 AI core skills; response rate 0.61.
CAND_0050876,12,0.754,Applied ML Engineer with 6.0 yrs; 5 AI core skills; response rate 0.67.
CAND_0098846,13,0.7513,AI Engineer with 7.6 yrs; 4 AI core skills; response rate 0.62.
CAND_0011125,14,0.7489,Junior ML Engineer with 6.6 yrs; 5 AI core skills; response rate 0.58.
CAND_0061265,15,0.747,Recommendation Systems Engineer with 6.6 yrs; 4 AI core skills; response rate 0.94.
CAND_0076482,16,0.7453,ML Engineer with 6.6 yrs; 4 AI core skills; response rate 0.86.
CAND_0046353,17,0.7431,ML Engineer with 6.4 yrs; 5 AI core skills; response rate 0.73.
CAND_0071974,18,0.7409,Senior AI Engineer with 7.8 yrs; 5 AI core skills; response rate 0.76.
CAND_0081852,19,0.7404,Senior Data Scientist with 5.9 yrs; 5 AI core skills; response rate 0.44.
CAND_0076163,20,0.7386,NLP Engineer with 6.9 yrs; 4 AI core skills; response rate 0.84.
CAND_0054100,21,0.7341,Junior ML Engineer with 6.0 yrs; 3 AI core skills; response rate 0.79.
CAND_0058146,22,0.7322,AI Research Engineer with 5.1 yrs; 5 AI core skills; response rate 0.79.
CAND_0052682,23,0.7318,NLP Engineer with 6.6 yrs; 5 AI core skills; response rate 0.88.
CAND_0073883,24,0.7311,AI Specialist with 5.3 yrs; 3 AI core skills; response rate 0.92.
CAND_0041402,25,0.7303,AI Specialist with 6.3 yrs; 3 AI core skills; response rate 0.44.
CAND_0068932,26,0.729,ML Engineer with 5.2 yrs; 2 AI core skills; response rate 0.82.
CAND_0044890,27,0.7279,AI Research Engineer with 5.0 yrs; 4 AI core skills; response rate 0.79.
CAND_0049978,28,0.7271,Senior Software Engineer (ML) with 6.6 yrs; 3 AI core skills; response rate 0.71.
CAND_0024990,29,0.7256,Junior ML Engineer with 5.2 yrs; 5 AI core skills; response rate 0.83.
CAND_0007009,30,0.7251,Recommendation Systems Engineer with 7.9 yrs; 3 AI core skills; response rate 0.62.
CAND_0090584,31,0.724,ML Engineer with 5.1 yrs; 4 AI core skills; response rate 0.64.
CAND_0052328,32,0.723,Recommendation Systems Engineer with 6.5 yrs; 3 AI core skills; response rate 0.79.
CAND_0033911,33,0.7222,Data Scientist with 6.9 yrs; 4 AI core skills; response rate 0.76.
CAND_0079387,34,0.7218,AI Engineer with 6.9 yrs; 3 AI core skills; response rate 0.81.
CAND_0025293,35,0.7203,Data Scientist with 6.4 yrs; 3 AI core skills; response rate 0.79.
CAND_0006833,36,0.7191,AI Research Engineer with 5.7 yrs; 1 AI core skills; response rate 0.26.
CAND_0020708,37,0.7157,Search Engineer with 4.2 yrs; 6 AI core skills; response rate 0.84.
CAND_0009691,38,0.7155,Applied ML Engineer with 6.2 yrs; 6 AI core skills; response rate 0.64.
CAND_0083852,39,0.7154,Data Scientist with 6.0 yrs; 5 AI core skills; response rate 0.85.
CAND_0099806,40,0.7133,AI Engineer with 4.6 yrs; 3 AI core skills; response rate 0.76.
CAND_0086292,41,0.7091,AI Specialist with 6.2 yrs; 5 AI core skills; response rate 0.39.
CAND_0035879,42,0.7087,AI Research Engineer with 4.5 yrs; 5 AI core skills; response rate 0.82.
CAND_0018925,43,0.7085,AI Research Engineer with 5.8 yrs; 2 AI core skills; response rate 0.45.
CAND_0037566,44,0.7081,Machine Learning Engineer with 6.9 yrs; 6 AI core skills; response rate 0.50.
CAND_0091229,45,0.7034,Senior Software Engineer (ML) with 7.0 yrs; 2 AI core skills; response rate 0.35.
CAND_0092706,46,0.7024,AI Research Engineer with 5.8 yrs; 3 AI core skills; response rate 0.78.
CAND_0049831,47,0.7022,Computer Vision Engineer with 5.4 yrs; 4 AI core skills; response rate 0.43.
CAND_0043304,48,0.7013,Junior ML Engineer with 6.5 yrs; 2 AI core skills; response rate 0.75.
CAND_0000981,49,0.7008,ML Engineer with 6.4 yrs; 4 AI core skills; response rate 0.55.
CAND_0059017,50,0.6989,AI Research Engineer with 6.8 yrs; 4 AI core skills; response rate 0.75.
CAND_0073007,51,0.6974,AI Specialist with 5.8 yrs; 6 AI core skills; response rate 0.83.
CAND_0096172,52,0.6966,NLP Engineer with 5.2 yrs; 3 AI core skills; response rate 0.47.
CAND_0061339,53,0.6957,Search Engineer with 4.2 yrs; 7 AI core skills; response rate 0.90.
CAND_0038206,54,0.6836,Data Scientist with 3.5 yrs; 5 AI core skills; response rate 0.81.
CAND_0027801,55,0.6832,NLP Engineer with 7.4 yrs; 5 AI core skills; response rate 0.65.
CAND_0077296,56,0.6822,Computer Vision Engineer with 5.8 yrs; 1 AI core skills; response rate 0.50.
CAND_0002612,57,0.6798,Software Engineer with 6.9 yrs; 4 AI core skills; response rate 0.74.
CAND_0099443,58,0.6795,Junior ML Engineer with 6.0 yrs; 3 AI core skills; response rate 0.56.
CAND_0078579,59,0.6786,Data Scientist with 4.7 yrs; 6 AI core skills; response rate 0.82.
CAND_0005538,60,0.6778,Senior AI Engineer with 5.9 yrs; 4 AI core skills; response rate 0.81.
CAND_0042506,61,0.6765,Search Engineer with 4.2 yrs; 8 AI core skills; response rate 0.48.
CAND_0078042,62,0.6752,Applied ML Engineer with 4.7 yrs; 2 AI core skills; response rate 0.91.
CAND_0010408,63,0.6748,Junior ML Engineer with 5.7 yrs; 3 AI core skills; response rate 0.36.
CAND_0063232,64,0.6746,Data Engineer with 6.6 yrs; 4 AI core skills; response rate 0.37.
CAND_0088354,65,0.6745,Junior ML Engineer with 6.5 yrs; 3 AI core skills; response rate 0.80.
CAND_0021827,66,0.6734,AI Research Engineer with 4.4 yrs; 1 AI core skills; response rate 0.36.
CAND_0040820,67,0.6727,Senior Software Engineer (ML) with 5.5 yrs; 5 AI core skills; response rate 0.62.
CAND_0080794,68,0.6721,AI Research Engineer with 6.2 yrs; 1 AI core skills; response rate 0.49.
CAND_0003609,69,0.6681,Senior Software Engineer (ML) with 6.1 yrs; 5 AI core skills; response rate 0.50.
CAND_0023017,70,0.6673,Sales Executive with 7.4 yrs; 6 AI core skills; response rate 0.71.
CAND_0087766,71,0.6668,Computer Vision Engineer with 5.1 yrs; 3 AI core skills; response rate 0.33.
CAND_0019480,72,0.666,NLP Engineer with 2.8 yrs; 3 AI core skills; response rate 0.87.
CAND_0080914,73,0.6655,Senior Software Engineer with 5.3 yrs; 1 AI core skills; response rate 0.43.
CAND_0095207,74,0.6649,Computer Vision Engineer with 4.0 yrs; 2 AI core skills; response rate 0.72.
CAND_0061244,75,0.6641,Computer Vision Engineer with 6.2 yrs; 2 AI core skills; response rate 0.28.
CAND_0033520,76,0.6638,Senior Data Engineer with 6.5 yrs; 5 AI core skills; response rate 0.28.
CAND_0080534,77,0.6632,ML Engineer with 3.8 yrs; 3 AI core skills; response rate 0.91.
CAND_0082382,78,0.6619,Data Engineer with 5.1 yrs; 1 AI core skills; response rate 0.57.
CAND_0001600,79,0.661,AI Specialist with 6.2 yrs; 5 AI core skills; response rate 0.42.
CAND_0024147,80,0.6608,ML Engineer with 5.9 yrs; 0 AI core skills; response rate 0.84.
CAND_0025971,81,0.6599,Junior ML Engineer with 5.4 yrs; 4 AI core skills; response rate 0.34.
CAND_0000859,82,0.6596,Senior Software Engineer with 5.9 yrs; 1 AI core skills; response rate 0.77.
CAND_0044855,83,0.6593,Senior Data Scientist with 6.6 yrs; 7 AI core skills; response rate 0.57.
CAND_0083184,84,0.6587,Data Engineer with 5.6 yrs; 3 AI core skills; response rate 0.28.
CAND_0027691,85,0.6562,NLP Engineer with 6.5 yrs; 3 AI core skills; response rate 0.68.
CAND_0052195,86,0.6561,Computer Vision Engineer with 6.3 yrs; 3 AI core skills; response rate 0.69.
CAND_0059504,87,0.6554,Junior ML Engineer with 3.3 yrs; 7 AI core skills; response rate 0.83.
CAND_0018079,88,0.655,Data Engineer with 6.5 yrs; 2 AI core skills; response rate 0.42.
CAND_0027867,89,0.6523,Data Analyst with 5.7 yrs; 4 AI core skills; response rate 0.38.
CAND_0002344,90,0.6518,Senior Software Engineer (ML) with 4.7 yrs; 5 AI core skills; response rate 0.83.
CAND_0049808,91,0.6517,Data Analyst with 7.2 yrs; 2 AI core skills; response rate 0.64.
CAND_0073504,92,0.6506,Junior ML Engineer with 6.6 yrs; 4 AI core skills; response rate 0.78.
CAND_0028451,93,0.6505,Senior Software Engineer with 6.8 yrs; 1 AI core skills; response rate 0.57.
CAND_0073314,94,0.65,Senior Software Engineer (ML) with 5.2 yrs; 4 AI core skills; response rate 0.84.
CAND_0057166,95,0.6497,ML Engineer with 3.3 yrs; 2 AI core skills; response rate 0.51.
CAND_0010257,96,0.6496,Senior Data Scientist with 6.5 yrs; 5 AI core skills; response rate 0.72.
CAND_0026942,97,0.6494,Junior ML Engineer with 6.0 yrs; 4 AI core skills; response rate 0.84.
CAND_0029614,98,0.6491,Backend Engineer with 5.3 yrs; 0 AI core skills; response rate 0.45.
CAND_0088815,99,0.6488,Data Engineer with 5.7 yrs; 2 AI core skills; response rate 0.69.
CAND_0077498,100,0.6478,Senior Software Engineer (ML) with 5.4 yrs; 3 AI core skills; response rate 0.89.
